hpsa_name,designation_type,hpsa_discipline_class,hpsa_status,hpsa_designation_date,hpsa_designation_last_update_date,rural_status,hpsa_population_type,counties,total_population,per_pov,med_hh
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 77.1a/Palmdale Central,Geographic HPSA,Primary Care,Designated,15/04/2022,15/04/2022,Non-Rural,Geographic Population,Los Angeles,10014009,16.3,61308
MSSA 148 - Wrightwood,Geographic HPSA,Primary Care,Designated,08/11/2023,08/11/2023,Non-Rural,Geographic Population,San Bernardino,2181654,17.6,56194
MSSA 148 - Wrightwood,Geographic HPSA,Primary Care,Designated,08/11/2023,08/11/2023,Non-Rural,Geographic Population,San Bernardino,2181654,17.6,56194
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Non-Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Non-Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Non-Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Non-Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,HPSA Population,Primary Care,Withdrawn,30/05/2007,19/04/2012,Rural,Low Income Migrant Seasonal Worker Population HPSA,Tulare,473117,24.7,45768
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Not Applicable,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,HPSA Population,Primary Care,Withdrawn,28/03/2007,02/07/2018,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA,Ventura,843843,9.8,79470
