HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,PC MCTA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Metropolitan Indicator,HPSA Geography Identification Number,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Longitude,Latitude,BHCMIS Organization Identification Number,Break in Designation,Common County Name,Common Postal Code,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State Name,County Equivalent Name,County or County Equivalent Federal Information Processing Standard Code,Discipline Class Number,HPSA Address,HPSA City,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component State Abbreviation,HPSA Component Type Code,HPSA Component Type Description,HPSA Designation Population Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Metropolitan Indicator Code,HPSA Population Type Code,HPSA Postal Code,HPSA Provider Ratio Goal,HPSA Resident Civilian Population,HPSA Shortage,HPSA Status Code,HPSA Type Code,HPSA Withdrawn Date String,Primary State FIPS Code,Primary State Name,Provider Type,Rural Status Code,State Abbreviation,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text
MEE MEMORIAL HOSPITAL MEDICAL CLINIC,10699906EV,Rural Health Clinic,Primary Care,16,17,CA,Designated,13/04/2004,12/07/2021,Metropolitan,POINT,,,,8233,,,,Rural,-121.2477097,36.32587541,,N,"Monterey County, CA",93927,Region 9,CA,06053,06,California,Monterey,053,1,467 El Camino Real,Greenfield,MEE MEMORIAL HOSPITAL MEDICAL CLINIC,10699906EV,,UNK,Unknown,Rural Health Clinic,,,M,,93927-4915,,,,D,RHC,,06,California,,R,CA,06053,06,California,N,N,27/03/2024,03/27/2024
ADVENTIST HEALTH REEDLY,10699906EU,Rural Health Clinic,Primary Care,16,17,CA,Designated,08/09/2004,12/09/2021,Metropolitan,POINT,,,,493282,,,,Rural,-119.68074,36.62667999,,N,"Fresno County, CA",93625,Region 9,CA,06019,06,California,Fresno,019,1,300 S Leon S. Peters Blvd,Fowler,ADVENTIST HEALTH REEDLY,10699906EU,,UNK,Unknown,Rural Health Clinic,,,M,,93625-2538,,,,D,RHC,,06,California,,R,CA,06019,06,California,N,N,27/03/2024,03/27/2024
SAN JOAQUIN PRIME CARE MEDICAL,10699906ET,Rural Health Clinic,Primary Care,15,NA,CA,Withdrawn,16/12/2003,23/12/2020,Unknown,POINT,,23/12/2020,,232642,,,,Non-Rural,-119.2009536,36.29776003,,N,"Tulare County, CA",93223,Region 9,CA,06107,06,California,Tulare,107,1,682 E Visalia Rd,Farmersville,SAN JOAQUIN PRIME CARE MEDICAL,10699906ET,,UNK,Unknown,Rural Health Clinic,,,0,,93223-1641,,,,W,RHC,12/23/2020,06,California,,N,CA,06107,06,California,N,N,27/03/2024,03/27/2024
EL CENTRO REGIONAL MEDICAL CTR OUTPATIENT CLINIC,10699906ES,Rural Health Clinic,Primary Care,15,19,CA,Withdrawn,07/02/2014,05/02/2024,Unknown,POINT,,05/02/2024,,74984,,,,Non-Rural,-115.5519012,32.79279526,,N,"Imperial County, CA",92243,Region 9,CA,06025,06,California,Imperial,025,1,385 W Main St,El Centro,EL CENTRO REGIONAL MEDICAL CTR OUTPATIENT CLINIC,10699906ES,,UNK,Unknown,Rural Health Clinic,,,0,,92243-3040,,,,W,RHC,02/05/2024,06,California,,N,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
SAN JOAQUIN PRIME CARE MEDICAL,10699906ER,Rural Health Clinic,Primary Care,15,NA,CA,Withdrawn,16/12/2003,06/02/2020,Unknown,POINT,,06/02/2020,,212085,,,,Non-Rural,-119.1391218,36.29692042,,N,"Tulare County, CA",93221,Region 9,CA,06107,06,California,Tulare,107,1,330 E Pine St,Exeter,SAN JOAQUIN PRIME CARE MEDICAL,10699906ER,,UNK,Unknown,Rural Health Clinic,,,0,,93221-1838,,,,W,RHC,02/06/2020,06,California,,N,CA,06107,06,California,N,N,27/03/2024,03/27/2024
Eureka Pediatrics,10699906EQ,Rural Health Clinic,Primary Care,0,NA,CA,Withdrawn,29/10/2003,25/06/2019,Unknown,POINT,,25/06/2019,,,,,,Rural,-124.1361413,40.78047636,,N,"Humboldt County, CA",95503,Region 9,CA,06023,06,California,Humboldt,023,1,2800 Harris St,Eureka,Eureka Pediatrics,10699906EQ,,UNK,Unknown,Rural Health Clinic,,,0,,95503-4809,,,,W,RHC,06/25/2019,06,California,,R,CA,06023,06,California,N,N,27/03/2024,03/27/2024
Health Care Medical Associates,10699906EP,Rural Health Clinic,Primary Care,0,NA,CA,Withdrawn,27/10/2003,25/06/2019,Unknown,POINT,,25/06/2019,,,,,,Rural,-124.1380566,40.78053516,,N,"Humboldt County, CA",95503,Region 9,CA,06023,06,California,Humboldt,023,1,2607 Harris St,Eureka,Health Care Medical Associates,10699906EP,,UNK,Unknown,Rural Health Clinic,,,0,,95503-4806,,,,W,RHC,06/25/2019,06,California,,R,CA,06023,06,California,N,N,27/03/2024,03/27/2024
PORTOLA MEDICAL/DENTAL CLINIC,10699906EO,Rural Health Clinic,Primary Care,15,NA,CA,Withdrawn,28/01/2014,08/04/2022,Unknown,POINT,,08/04/2022,,5169,,,,Rural,-120.4638865,39.8060357,,N,"Plumas County, CA",96122,Region 9,CA,06063,06,California,Plumas,063,1,480 1st Ave,Portola,PORTOLA MEDICAL/DENTAL CLINIC,10699906EO,,UNK,Unknown,Rural Health Clinic,,,0,,96122-9405,,,,W,RHC,04/08/2022,06,California,,R,CA,06063,06,California,N,N,27/03/2024,03/27/2024
"KRISHNAMOORTHI MD INC, A PROFESSIONAL MEDICAL CORP",10699906EN,Rural Health Clinic,Primary Care,14,NA,CA,Withdrawn,20/10/2003,06/02/2020,Unknown,POINT,,06/02/2020,,354487,,,,Rural,-121.0015236,37.79658522,,N,"San Joaquin County, CA",95320,Region 9,CA,06077,06,California,San Joaquin,077,1,850 California St,Escalon,"KRISHNAMOORTHI MD INC, A PROFESSIONAL MEDICAL CORP",10699906EN,,UNK,Unknown,Rural Health Clinic,,,0,,95320-1506,,,,W,RHC,02/06/2020,06,California,,R,CA,06077,06,California,N,N,27/03/2024,03/27/2024
Delhi Medical Clinic,10699906EM,Rural Health Clinic,Primary Care,0,NA,CA,Withdrawn,10/11/2003,19/09/2019,Unknown,POINT,,19/09/2019,,,,,,Non-Rural,-120.7754862,37.42954101,,N,"Merced County, CA",95315,Region 9,CA,06047,06,California,Merced,047,1,9696 Stephens St,Delhi,Delhi Medical Clinic,10699906EM,,UNK,Unknown,Rural Health Clinic,,,0,,95315-9550,,,,W,RHC,09/19/2019,06,California,,N,CA,06047,06,California,N,N,27/03/2024,03/27/2024
DELANO WOMEN'S MEDICAL CLINIC,10699906EL,Rural Health Clinic,Primary Care,15,NA,CA,Withdrawn,21/10/2003,06/02/2020,Unknown,POINT,,06/02/2020,,156213,,,,Non-Rural,-119.2450052,35.77207514,,N,"Kern County, CA",93215,Region 9,CA,06029,06,California,Kern,029,1,1201 Jefferson St,Delano,DELANO WOMEN'S MEDICAL CLINIC,10699906EL,,UNK,Unknown,Rural Health Clinic,,,0,,93215-2203,,,,W,RHC,02/06/2020,06,California,,N,CA,06029,06,California,N,N,27/03/2024,03/27/2024
ADVENTIST HEALTH CLEARLAKE,10699906EK,Rural Health Clinic,Primary Care,14,16,CA,Designated,06/11/2003,12/09/2021,Non-Metropolitan,POINT,,,,59446,,,,Rural,-122.1687511,39.92779579,,N,"Tehama County, CA",96021,Region 9,CA,06103,06,California,Tehama,103,1,155 Solano St,Corning,ADVENTIST HEALTH CLEARLAKE,10699906EK,,UNK,Unknown,Rural Health Clinic,,,N,,96021-3511,,,,D,RHC,,06,California,,R,CA,06103,06,California,N,N,27/03/2024,03/27/2024
"JAMES OOI, MD",10699906EJ,Rural Health Clinic,Primary Care,14,16,CA,Withdrawn,24/10/2003,05/04/2023,Unknown,POINT,,05/04/2023,,62283,,,,Rural,-122.169862,39.92788753,,N,"Tehama County, CA",96021,Region 9,CA,06103,06,California,Tehama,103,1,320 Solano St,Corning,"JAMES OOI, MD",10699906EJ,,UNK,Unknown,Rural Health Clinic,,,0,,96021-3454,,,,W,RHC,04/05/2023,06,California,,R,CA,06103,06,California,N,N,27/03/2024,03/27/2024
INDIAN VALLEY MEDICAL CLINIC,10699906EI,Rural Health Clinic,Primary Care,10,NA,CA,Withdrawn,28/01/2014,06/02/2020,Unknown,POINT,,06/02/2020,,5318,,,,Rural,-120.9370476,40.14001703,,N,"Plumas County, CA",95947,Region 9,CA,06063,06,California,Plumas,063,1,176 Hot Springs Rd,Greenville,INDIAN VALLEY MEDICAL CLINIC,10699906EI,,UNK,Unknown,Rural Health Clinic,,,0,,95947-9747,,,,W,RHC,02/06/2020,06,California,,R,CA,06063,06,California,N,N,27/03/2024,03/27/2024
ADVENTIST HEALTH REEDLEY,10699906EH,Rural Health Clinic,Primary Care,14,20,CA,Designated,13/04/2004,11/09/2021,Non-Metropolitan,POINT,,,,123747,,,,Rural,-119.5641427,36.09975618,,N,"Kings County, CA",93212,Region 9,CA,06031,06,California,Kings,031,1,1310 Hanna Ave,Corcoran,ADVENTIST HEALTH REEDLEY,10699906EH,,UNK,Unknown,Rural Health Clinic,,,N,,93212-2314,,,,D,RHC,,06,California,,R,CA,06031,06,California,N,N,27/03/2024,03/27/2024
ADVENTIST HEALTH REEDLEY,10699906EG,Rural Health Clinic,Primary Care,15,20,CA,Designated,28/10/2003,10/09/2021,Non-Metropolitan,POINT,,,,132457,,,,Rural,-119.562931,36.0997475,,N,"Kings County, CA",93212,Region 9,CA,06031,06,California,Kings,031,1,1212 Hanna Ave,Corcoran,ADVENTIST HEALTH REEDLEY,10699906EG,,UNK,Unknown,Rural Health Clinic,,,N,,93212-2313,,,,D,RHC,,06,California,,R,CA,06031,06,California,N,N,27/03/2024,03/27/2024
ADVENTIST HEALTH REEDLEY,10699906EF,Rural Health Clinic,Primary Care,18,20,CA,Designated,27/09/2004,11/09/2021,Metropolitan,POINT,,,,32018,,,,Rural,-120.3582671,36.13845811,,N,"Fresno County, CA",93210,Region 9,CA,06019,06,California,Fresno,019,1,155 S 5th St,Coalinga,ADVENTIST HEALTH REEDLEY,10699906EF,,UNK,Unknown,Rural Health Clinic,,,M,,93210-1903,,,,D,RHC,,06,California,,R,CA,06019,06,California,N,N,27/03/2024,03/27/2024
VALLEY FAMILY HLTH CTR-Coalinga,10699906EE,Rural Health Clinic,Primary Care,5,NA,CA,Withdrawn,13/04/2004,15/11/2016,Unknown,POINT,,,,,,,,Rural,-120.3640117,36.14345531,,N,"Fresno County, CA",93210,Region 9,CA,06019,06,California,Fresno,019,1,741 Sunset St,Coalinga,VALLEY FAMILY HLTH CTR-Coalinga,10699906EE,,UNK,Unknown,Rural Health Clinic,,,0,,93210-2929,,,,W,RHC,,06,California,,R,CA,06019,06,California,N,N,27/03/2024,03/27/2024
EASTERN PLUMAS HOSPITAL - LOYALTON MEDICAL CLINIC,10699906ED,Rural Health Clinic,Primary Care,15,NA,CA,Withdrawn,28/01/2014,06/02/2020,Unknown,POINT,,06/02/2020,,5508,,,,Rural,-120.2440325,39.67864124,,N,"Sierra County, CA",96118,Region 9,CA,06091,06,California,Sierra,091,1,725 3rd St,Loyalton,EASTERN PLUMAS HOSPITAL - LOYALTON MEDICAL CLINIC,10699906ED,,UNK,Unknown,Rural Health Clinic,,,0,,96118,,,,W,RHC,02/06/2020,06,California,,R,CA,06091,06,California,N,N,27/03/2024,03/27/2024
COPPERTOWER FAMILY MEDICAL CENTER INC,10699906EC,Federally Qualified Health Center,Primary Care,12,15,CA,Designated,02/10/2003,06/03/2024,Metropolitan,POINT,,,,2688,,,,Non-Rural,-123.0176661,38.79822671,09E01046,N,"Sonoma County, CA",95425,Region 9,CA,06097,06,California,Sonoma,097,1,6 Tarman Dr,Cloverdale,COPPERTOWER FAMILY MEDICAL CENTER INC,10699906EC,,UNK,Unknown,Federally Qualified Health Center,,,M,,95425-3932,,,,D,FQHC,,06,California,,N,CA,06097,06,California,N,N,27/03/2024,03/27/2024
AHRBCH East Lake Medical Clinic,10699906EB,Rural Health Clinic,Primary Care,0,NA,CA,Withdrawn,08/09/2004,25/08/2010,Non-Metropolitan,POINT,,,,,,,,Rural,-122.667457,39.02813095,,N,"Lake County, CA",95423,Region 9,CA,06033,06,California,Lake,033,1,13050 High Valley Rd,Clearlake Oaks,AHRBCH East Lake Medical Clinic,10699906EB,,UNK,Unknown,Rural Health Clinic,,,N,,95423,,,,W,RHC,,06,California,,R,CA,06033,06,California,N,N,27/03/2024,03/27/2024
SURPRISE VALLEY MEDICAL CLINIC,10699906EA,Rural Health Clinic,Primary Care,14,NA,CA,Withdrawn,01/10/2003,06/02/2020,Unknown,POINT,,06/02/2020,,4793,,,,Rural,-120.1718768,41.53222181,,N,"Modoc County, CA",96104,Region 9,CA,06049,06,California,Modoc,049,1,745 Main St,Cedarville,SURPRISE VALLEY MEDICAL CLINIC,10699906EA,,UNK,Unknown,Rural Health Clinic,,,0,,96104-1038,,,,W,RHC,02/06/2020,06,California,,R,CA,06049,06,California,N,N,27/03/2024,03/27/2024
Low Income - Brawley/Calipatria (MSSA 50/51),10699906E8,HPSA Population,Primary Care,0,NA,CA,Withdrawn,14/03/2003,13/05/2005,Non-Metropolitan,06025010200,Not applicable,13/05/2005,5,17542,22.4,3508:1,Native American Population HPSA,Rural,,,,N,"Imperial County, CA",,Region 9,CA,06025,06,California,Imperial,025,1,,,102,,CA,CT,Census Tract,Native American Population HPSA,15000,2542,N,NA,,3000:1,17542,,W,Hpsa Pop,05/13/2005,06,California,Not Applicable,R,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
Low Income - Brawley/Calipatria (MSSA 50/51),10699906E8,HPSA Population,Primary Care,0,NA,CA,Withdrawn,14/03/2003,13/05/2005,Non-Metropolitan,06025010500,Not applicable,13/05/2005,5,17542,22.4,3508:1,Native American Population HPSA,Rural,,,,N,"Imperial County, CA",,Region 9,CA,06025,06,California,Imperial,025,1,,,105,,CA,CT,Census Tract,Native American Population HPSA,15000,2542,N,NA,,3000:1,17542,,W,Hpsa Pop,05/13/2005,06,California,Not Applicable,R,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
Low Income - Brawley/Calipatria (MSSA 50/51),10699906E8,HPSA Population,Primary Care,0,NA,CA,Withdrawn,14/03/2003,13/05/2005,Non-Metropolitan,06025010300,Not applicable,13/05/2005,5,17542,22.4,3508:1,Native American Population HPSA,Non-Rural,,,,N,"Imperial County, CA",,Region 9,CA,06025,06,California,Imperial,025,1,,,103,,CA,CT,Census Tract,Native American Population HPSA,15000,2542,N,NA,,3000:1,17542,,W,Hpsa Pop,05/13/2005,06,California,Not Applicable,N,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
Low Income - Brawley/Calipatria (MSSA 50/51),10699906E8,HPSA Population,Primary Care,0,NA,CA,Withdrawn,14/03/2003,13/05/2005,Non-Metropolitan,06059087403,Not applicable,13/05/2005,5,17542,22.4,3508:1,Native American Population HPSA,Non-Rural,,,,N,"Orange County, CA",,Region 9,CA,06059,06,California,Orange,059,1,,,874.03,,CA,CT,Census Tract,Native American Population HPSA,15000,2542,N,NA,,3000:1,17542,,W,Hpsa Pop,05/13/2005,06,California,Not Applicable,N,CA,06059,06,California,N,N,27/03/2024,03/27/2024
Low Income - Brawley/Calipatria (MSSA 50/51),10699906E8,HPSA Population,Primary Care,0,NA,CA,Withdrawn,14/03/2003,13/05/2005,Non-Metropolitan,06025010400,Not applicable,13/05/2005,5,17542,22.4,3508:1,Native American Population HPSA,Rural,,,,N,"Imperial County, CA",,Region 9,CA,06025,06,California,Imperial,025,1,,,104,,CA,CT,Census Tract,Native American Population HPSA,15000,2542,N,NA,,3000:1,17542,,W,Hpsa Pop,05/13/2005,06,California,Not Applicable,R,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
Low Income - Brawley/Calipatria (MSSA 50/51),10699906E8,HPSA Population,Primary Care,0,NA,CA,Withdrawn,14/03/2003,13/05/2005,Non-Metropolitan,06025012302,Not applicable,13/05/2005,5,17542,22.4,3508:1,Native American Population HPSA,Non-Rural,,,,N,"Imperial County, CA",,Region 9,CA,06025,06,California,Imperial,025,1,,,123.02,,CA,CT,Census Tract,Native American Population HPSA,15000,2542,N,NA,,3000:1,17542,,W,Hpsa Pop,05/13/2005,06,California,Not Applicable,N,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
Low Income - Brawley/Calipatria (MSSA 50/51),10699906E8,HPSA Population,Primary Care,0,NA,CA,Withdrawn,14/03/2003,13/05/2005,Non-Metropolitan,06025010700,Not applicable,13/05/2005,5,17542,22.4,3508:1,Native American Population HPSA,Rural,,,,N,"Imperial County, CA",,Region 9,CA,06025,06,California,Imperial,025,1,,,107,,CA,CT,Census Tract,Native American Population HPSA,15000,2542,N,NA,,3000:1,17542,,W,Hpsa Pop,05/13/2005,06,California,Not Applicable,R,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
Low Income - Brawley/Calipatria (MSSA 50/51),10699906E8,HPSA Population,Primary Care,0,NA,CA,Withdrawn,14/03/2003,13/05/2005,Non-Metropolitan,06025010600,Not applicable,13/05/2005,5,17542,22.4,3508:1,Native American Population HPSA,Rural,,,,N,"Imperial County, CA",,Region 9,CA,06025,06,California,Imperial,025,1,,,106,,CA,CT,Census Tract,Native American Population HPSA,15000,2542,N,NA,,3000:1,17542,,W,Hpsa Pop,05/13/2005,06,California,Not Applicable,R,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
Golden Valley Health Centers,10699906E7,Federally Qualified Health Center,Primary Care,18,21,CA,Designated,20/05/2003,10/09/2021,Non-Metropolitan,POINT,,,,223999,,,,Non-Rural,-120.4958027,37.28825649,090470,N,"Merced County, CA",95341,Region 9,CA,06047,06,California,Merced,047,1,737 W Childs Ave,Merced,Golden Valley Health Centers,10699906E7,,UNK,Unknown,Federally Qualified Health Center,,,N,,95341-6805,,,,D,FQHC,,06,California,,N,CA,06047,06,California,N,N,27/03/2024,03/27/2024
Clinica Sierra Vista,10699906E6,Federally Qualified Health Center,Primary Care,21,19,CA,Designated,14/05/2003,11/09/2021,Metropolitan,POINT,,,,418384,,,,Non-Rural,-119.0173294,35.37345567,090390,N,"Kern County, CA",93301,Region 9,CA,06029,06,California,Kern,029,1,1430 Truxtun Ave STE 400,Bakersfield,Clinica Sierra Vista,10699906E6,,UNK,Unknown,Federally Qualified Health Center,,,M,,93301-5220,,,,D,FQHC,,06,California,,N,CA,06029,06,California,N,N,27/03/2024,03/27/2024
Sage Community Health Center,10699906E5,Federally Qualified Health Center Look A Like,Primary Care,7,NA,CA,Withdrawn,08/05/2003,19/09/2019,Unknown,POINT,,25/06/2019,,,,,,Rural,-117.6698904,35.63954006,,N,"Kern County, CA",93555,Region 9,CA,06029,06,California,Kern,029,1,1041 N China Lake Blvd,Ridgecrest,Sage Community Health Center,10699906E5,,UNK,Unknown,Federally Qualified Health Center Look A Like,,,0,,93555-3168,,,,W,FQHC LAL,06/25/2019,06,California,,R,CA,06029,06,California,N,N,27/03/2024,03/27/2024
Low Income - MSSA 116q/Anaheim E/City of Orange N,10699906E4,HPSA Population,Primary Care,11,NA,CA,Withdrawn,24/07/2002,25/06/2014,Metropolitan,06059087401,Not applicable,25/06/2014,0.6,37037,,61728:1,Low Income Population HPSA,Non-Rural,,,,N,"Orange County, CA",,Region 9,CA,06059,06,California,Orange,059,1,,,874.01,,CA,CT,Census Tract,Low Income Population HPSA,1800,35237,M,LI,,3000:1,,11.75,W,Hpsa Pop,06/25/2014,06,California,Not Applicable,N,CA,06059,06,California,N,N,27/03/2024,03/27/2024
Low Income - MSSA 116q/Anaheim E/City of Orange N,10699906E4,HPSA Population,Primary Care,11,NA,CA,Withdrawn,24/07/2002,25/06/2014,Metropolitan,06059087102,Not applicable,25/06/2014,0.6,37037,,61728:1,Low Income Population HPSA,Non-Rural,,,,N,"Orange County, CA",,Region 9,CA,06059,06,California,Orange,059,1,,,871.02,,CA,CT,Census Tract,Low Income Population HPSA,1800,35237,M,LI,,3000:1,,11.75,W,Hpsa Pop,06/25/2014,06,California,Not Applicable,N,CA,06059,06,California,N,N,27/03/2024,03/27/2024
